"Sten Olov 'Olle' hlund","SWE","M"
"Tontowi Ahmad","INA","M"
"Arne Per hman","SWE","M"
"Jrg Ahmann","GER","M"
"Christine M. 'Crissy' Ahmann-Leighton ","USA","F"
"Muhammad Akhlaq Ahmed","PAK","M"
"Muhammad Ashfaq Ahmed","PAK","M"
"Bashir Ahmed","PAK","M"
"Ishtiaq Ahmed","PAK","M"
"Manzoor Ahmed","PAK","M"
"Mushtaq Ahmed","PAK","M"
"Riaz Ahmed","PAK","M"
"Shahbaz Ahmed","PAK","M"
"Arthur Ahnger","FIN","M"
"Janne Petteri Ahonen","FIN","M"
"Peter Ahrendt","GER","M"
"Brigitte Ahrenholz","GDR","F"
"Christian 'Chris' Ahrens","USA","M"
"Marlene Ahrens Ostertag ","CHI","F"
"Thomas Ahrens","GER","M"
"Matteo Aicardi","ITA","M"
"Mara Magdalena Aicega Amicarelli","ARG","F"
"Hans Aichele","SUI","M"
"Rosaria Aiello","ITA","F"
"Franz Aigner","AUT","M"
"Hannes Aigner","GER","M"
"Nobuyuki Aihara","JPN","M"
"Yutaka Aihara","JPN","M"
"Ryoji Aikawa","JPN","M"
"Alexander Michael Hirst Aikman","AUS","M"
"Charles Benedict 'Ben' Ainslie","GBR","M"
"Kurt Harold Ainsworth","USA","M"
"John Creyghton Ainsworth-Davis","GBR","M"
"Robin Allingham Aisher","GBR","M"
"Gordon 'Gord' Aitchison","CAN","M"
"Frances Helen Aitchison ","GBR","F"
"Brett Aitken","AUS","M"
"Vladimir Atoff","FRA","M"
"Artur Surenovych Aivazian","UKR","M"
"Eirini Andili","GRE","F"
"Oluwafemi 'Junior' Ajayi","NGR","M"
"Omar Ajete Iglesias","CUB","M"
"Ebenezer Oluwafemi 'Femi' Ajilore","NGR","M"
"Mobolade Abimbola Ajomale","CAN","M"
"Chioma Ajunwa ","NGR","F"
"Kriss Kezie Uche Chukwu Duru Akabusi","GBR","M"
"Kosei Akaishi","JPN","M"
"Nasuh Akar","TUR","M"
"Yuichi Akasaka","JPN","M"
"Hseyin Akba","TUR","M"
"Vehbi Akda","TUR","M"
"Ernst Gunnar kerlund","SWE","M"
"Olle Erik Curys kerlund","SWE","M"
"Michelle Anne Akers","USA","F"
"Taha Akgl","TUR","M"
"Yelena Rabigovna Akhaminova ","URS","F"
"Albina Khamitovna Akhatova","RUS","F"
"Murodzhon Kakharovich Akhmadaliyev","UZB","M"
"Artur Kamilevich Akhmatkhuzin","RUS","M"
"Bakhtiyar Shakhabutdinovich Akhmedov","RUS","M"
"Lyutvi Dzhiber Akhmedov","BUL","M"
"Leyla Begnyazovna Akhmerova","URS","F"
"Igor Vladimirovich Akhremchik","URS","M"
"Gulraiz Akhtar","PAK","M"
"Naeem Akhtar","PAK","M"
"John Akii-Bua","UGA","M"
"Anatoly Ivanovich Akimov","URS","M"
"Vladimir Ivanovich Akimov","URS","M"
"Morolake Akinosun","USA","F"
"Foluke Antinuke Akinradewo","USA","F"
"Khadzhimurat Magomedovich Akkayev","RUS","M"
"Marina Dazmirovna Akobiya","RUS","F"
"Artur Vladimirovich Akoyev","EUN","M"
"Daniel Akpeyi","NGR","M"
"Monica Aksamit","USA","F"
"Liudmyla Vasylivna Aksenova ","URS","F"
"Aleksandr Timofeyevich Aksinin","URS","M"
"Nikolay Aleksandrovich Aksyonov","RUS","M"
"Irina Anatolyevna Aksyonova","URS","F"
"Vladyslav Ivanovych Akymenko","URS","M"
"Naser Al Shami","SYR","M"
"Nasser Salih Nasser Abdullah Al-Attiya","QAT","M"
"Fehaid Al-Deehani","KUW","M"
"Fehaid Al-Deehani","IOA","M"
"Ramzy Al-Duhami","KSA","M"
"Khaled Al-Eid","KSA","M"
"Abdul Rashid Al-Hasan","PAK","M"
"Ahmed bin Hasher Al-Maktoum","UAE","M"
"Abdullah Al-Rashidi","IOA","M"
"Prince Abdullah Bin Moteb Al-Saud","KSA","M"
"Hadi Soua'an Al-Somaily Jaadan","KSA","M"
"Marina Alabau Neira","ESP","F"
"Armenak Alachachyan","URS","M"
"Arsen Shakhlamazovich Alakhverdiyev","URS","M"
"Noor Alam","PAK","M"
"Vladan Alanovi","CRO","M"
"Mika Antero Alatalo","FIN","M"
"Toimi Johannes Alatalo","FIN","M"
"Fabio Albarelli","ITA","M"
"Marco Albarello","ITA","M"
"Pierre Henri Maurice Albarran","FRA","M"
"Ruslan Vladimirovich Albegov","RUS","M"
"David Albelda Aliqus","ESP","M"
"Reinhard Alber","FRG","M"
"Alberto Alberani Samaritani","ITA","M"
"A. Albert","FRA","M"
"Auguste Albert","FRA","M"
"Flrin Albert","HUN","M"
"Nely Carla Alberto Francisca","ESP","F"
"Georg Albert Christian Albertsen","DEN","M"
"Ebbe Gustav Bertil Albertsson ","SWE","M"
"Abramo Albini","ITA","M"
"Islam-Beka Said-Tsilimovich Albiyev","RUS","M"
"mile Albrecht","SUI","M"
"Sylvia Albrecht ","GDR","F"
"Brigitte Albrecht-Loretan","SUI","F"
"John Robert Albrechtson","SWE","M"
"Tenley Emma Albright ","USA","F"
"David Donald 'Dave' Albritton","USA","M"
"Anatoly Mikhaylovich Albul","URS","M"
"Aldair Nascimento dos Santos","BRA","M"
"Andrs Aldama Cabrera","CUB","M"
"Cyril Albert Alden","GBR","M"
