"Tug-Of-War","Tug-Of-War Men's Tug-Of-War"
"Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay"
"Figure Skating","Figure Skating Women's Singles"
"Athletics","Athletics Men's High Jump"
"Cycling","Cycling Men's 50 kilometres"
"Sailing","Sailing Women's Two Person Dinghy"
"Athletics","Athletics Men's Discus Throw"
"Rowing","Rowing Women's Double Sculls"
"Wrestling","Wrestling Men's Heavyweight Greco-Roman"
"Diving","Diving Women's Platform"
"Lacrosse","Lacrosse Men's Lacrosse"
"Synchronized Swimming","Synchronized Swimming Women's Team"
"Judo","Judo Men's Half-Lightweight"
"Wrestling","Wrestling Men's Light-Flyweight Greco-Roman"
"Shooting","Shooting Men's Air Rifle 10 metres"
"Taekwondo","Taekwondo Men's Heavyweight"
"Sailing","Sailing Mixed 12 metres"
"Equestrianism","Equestrianism Mixed Three-Day Event Individual"
"Athletics","Athletics Women's 100 metres Hurdles"
"Shooting","Shooting Men's Rapid-Fire Pistol 25 metres"
"Biathlon","Biathlon Men's 10 kilometres Sprint"
"Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay"
"Gymnastics","Gymnastics Men's Rope Climbing"
"Archery","Archery Men's Target Archery 28 metres Team"
"Archery","Archery Men's Target Archery 33 metres Team"
"Archery","Archery Men's Target Archery 50 metres Team"
"Short Track Speed Skating","Short Track Speed Skating Women's 3000 metres Relay"
"Freestyle Skiing","Freestyle Skiing Men's Moguls"
"Shooting","Shooting Men's Small-Bore Rifle Three Positions 50 metres"
"Triathlon","Triathlon Women's Olympic Distance"
"Figure Skating","Figure Skating Men's Singles"
"Polo","Polo Men's Polo"
"Modern Pentathlon","Modern Pentathlon Women's Individual"
"Rowing","Rowing Men's Coxed Fours Inriggers"
"Equestrianism","Equestrianism Mixed Three-Day Event Team"
"Athletics","Athletics Men's Cross-Country Team"
"Sailing","Sailing Mixed 40 metres"
"Boxing","Boxing Men's Flyweight"
"Cross Country Skiing","Cross Country Skiing Men's 30 kilometres"
"Cross Country Skiing","Cross Country Skiing Men's 10/15 kilometres Pursuit"
"Cross Country Skiing","Cross Country Skiing Men's 10/10 kilometres Pursuit"
"Swimming","Swimming Women's 50 metres Freestyle"
"Swimming","Swimming Women's 100 metres Freestyle"
"Rowing","Rowing Women's Coxless Pairs"
"Athletics","Athletics Men's 10 kilometres Walk"
"Equestrianism","Equestrianism Men's Jumping Team"
"Judo","Judo Women's Middleweight"
"Boxing","Boxing Men's Super-Heavyweight"
"Biathlon","Biathlon Men's 20 kilometres"
"Cross Country Skiing","Cross Country Skiing Men's Team Sprint"
"Gymnastics","Gymnastics Women's Individual All-Around"
"Gymnastics","Gymnastics Women's Floor Exercise"
"Luge","Luge Women's Singles"
"Rowing","Rowing Men's Lightweight Coxless Fours"
"Boxing","Boxing Men's Middleweight"
"Sailing","Sailing Women's One Person Dinghy"
"Athletics","Athletics Men's 3000 metres Steeplechase"
"Alpine Skiing","Alpine Skiing Men's Slalom"
"Ski Jumping","Ski Jumping Men's Normal Hill Individual"
"Ski Jumping","Ski Jumping Men's Large Hill Individual"
"Shooting","Shooting Men's Small-Bore Rifle 50 and 100 yards Team"
"Shooting","Shooting Men's Small-Bore Rifle Disappearing Target 25 yards"
"Athletics","Athletics Women's 400 metres"
"Athletics","Athletics Men's 800 metres"
"Shooting","Shooting Men's Military Pistol Team"
"Shooting","Shooting Men's Free Rifle Three Positions 300 metres Team"
"Wrestling","Wrestling Men's Featherweight Greco-Roman"
"Wrestling","Wrestling Women's Lightweight Freestyle"
"Canoeing","Canoeing Men's Canadian Singles 1000 metres"
"Table Tennis","Table Tennis Men's Doubles"
"Judo","Judo Women's Half-Lightweight"
"Short Track Speed Skating","Short Track Speed Skating Men's 500 metres"
"Short Track Speed Skating","Short Track Speed Skating Men's 1000 metres"
"Short Track Speed Skating","Short Track Speed Skating Men's 1500 metres"
"Canoeing","Canoeing Men's Canadian Doubles 500 metres"
"Judo","Judo Women's Heavyweight"
"Athletics","Athletics Men's Pole Vault"
"Canoeing","Canoeing Men's Kayak Singles 1000 metres"
"Speed Skating","Speed Skating Men's 5000 metres"
"Speed Skating","Speed Skating Men's 10000 metres"
"Athletics","Athletics Women's Marathon"
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay"
"Shooting","Shooting Men's Free Rifle Three Positions 300 metres"
"Shooting","Shooting Mixed Free Rifle Three Positions 300 metres"
"Cycling","Cycling Men's Individual Pursuit 4000 metres"
"Swimming","Swimming Women's 10 kilometres Open Water"
"Snowboarding","Snowboarding Women's Slopestyle"
"Snowboarding","Snowboarding Men's Parallel Giant Slalom"
"Diving","Diving Men's Springboard"
"Sailing","Sailing Mixed Multihull"
"Athletics","Athletics Men's 110 metres Hurdles"
"Cycling","Cycling Men's Team Pursuit 1980 yards"
"Cricket","Cricket Men's Cricket"
"Canoeing","Canoeing Women's Kayak Singles 500 metres"
"Canoeing","Canoeing Women's Kayak Doubles 500 metres"
"Canoeing","Canoeing Women's Kayak Fours 500 metres"
"Shooting","Shooting Men's Free Pistol 50 metres Team"
"Wrestling","Wrestling Men's Welterweight Greco-Roman"
"Athletics","Athletics Men's Cross-Country Individual"
"Cross Country Skiing","Cross Country Skiing Women's Team Sprint"
"Wrestling","Wrestling Men's Welterweight Freestyle"
"Cross Country Skiing","Cross Country Skiing Men's 50 kilometres"
"Weightlifting","Weightlifting Men's Bantamweight"
"Athletics","Athletics Men's Shot Put"
"Swimming","Swimming Men's 1200 metres Freestyle"
"Cycling","Cycling Men's 5 mile"
"Cycling","Cycling Men's 25 mile"
"Swimming","Swimming Women's 100 metres Backstroke"
"Athletics","Athletics Men's 20 kilometres Walk"
"Gymnastics","Gymnastics Men's Parallel Bars"
"Gymnastics","Gymnastics Men's Horizontal Bar"
"Weightlifting","Weightlifting Men's Featherweight"
"Speed Skating","Speed Skating Men's Team Pursuit (8 laps)"
"Cross Country Skiing","Cross Country Skiing Men's 15 kilometres"
"Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon"
"Rowing","Rowing Women's Coxed Fours"
"Swimming","Swimming Women's 100 metres Breaststroke"
"Judo","Judo Women's Half-Heavyweight"
"Snowboarding","Snowboarding Women's Boardercross"
"Skeleton","Skeleton Men's Skeleton"
"Luge","Luge Mixed Team Relay"
"Athletics","Athletics Women's Discus Throw"
"Rowing","Rowing Women's Single Sculls"
"Athletics","Athletics Women's 400 metres Hurdles"
"Athletics","Athletics Men's 5000 metres"
"Biathlon","Biathlon Women's 7.5 kilometres Sprint"
"Athletics","Athletics Men's 200 metres"
"Weightlifting","Weightlifting Men's Middleweight"
"Fencing","Fencing Men's Sabre Individual"
"Athletics","Athletics Men's 50 kilometres Walk"
"Boxing","Boxing Women's Lightweight"
"Equestrianism","Equestrianism Mixed Hacks And Hunter Combined"
"Cycling","Cycling Women's Team Pursuit"
"Sailing","Sailing Mixed 10 metres"
"Boxing","Boxing Men's Light-Flyweight"
"Badminton","Badminton Men's Doubles"
"Shooting","Shooting Men's Trap Team"
"Boxing","Boxing Men's Light-Heavyweight"
"Luge","Luge Mixed (Men)'s Doubles"
"Cycling","Cycling Women's Road Race Individual"
"Alpine Skiing","Alpine Skiing Women's Giant Slalom"
"Swimming","Swimming Men's 400 metres Freestyle"
"Diving","Diving Women's Plain High"
"Cycling","Cycling Women's Individual Time Trial"
"Cycling","Cycling Women's Individual Pursuit 3000 metres"
"Rowing","Rowing Men's Coxed Fours Outriggers"
"Cycling","Cycling Men's Tandem Sprint 2000 metres"
"Bobsleigh","Bobsleigh Men's Four/Five"
"Archery","Archery Women's Team"
"Weightlifting","Weightlifting Men's Lightweight"
"Weightlifting","Weightlifting Men's Light-Heavyweight"
"Swimming","Swimming Men's 100 metres Butterfly"
"Shooting","Shooting Men's Running Target Single Shot Team"
"Judo","Judo Men's Extra-Lightweight"
"Judo","Judo Men's Middleweight"
"Rowing","Rowing Men's Single Sculls"
"Athletics","Athletics Women's 100 metres"
"Sailing","Sailing Men's Windsurfer"
"Speed Skating","Speed Skating Women's 500 metres"
"Wrestling","Wrestling Men's Middleweight A Greco-Roman"
"Shooting","Shooting Men's Running Target 10 metres"
"Athletics","Athletics Women's 3000 metres Steeplechase"
"Athletics","Athletics Women's High Jump"
"Gymnastics","Gymnastics Women's Team Portable Apparatus"
"Gymnastics","Gymnastics Women's Uneven Bars"
"Racquets","Racquets Men's Singles"
"Racquets","Racquets Men's Doubles"
"Shooting","Shooting Women's Sporting Pistol 25 metres"
"Swimming","Swimming Women's 200 metres Backstroke"
"Speed Skating","Speed Skating Men's 500 metres"
"Shooting","Shooting Mixed Small-Bore Rifle Prone 50 metres"
"Military Ski Patrol","Military Ski Patrol Men's Military Ski Patrol"
"Cycling","Cycling Men's 5000 metres"
"Cross Country Skiing","Cross Country Skiing Women's 10 kilometres"
"Sailing","Sailing Mixed 0.5-1 Ton"
"Shooting","Shooting Men's Free Rifle 400 600 and 800 metres Team"
"Croquet","Croquet Mixed Singles One Ball"
"Croquet","Croquet Mixed Doubles"
"Athletics","Athletics Men's Decathlon"
"Cross Country Skiing","Cross Country Skiing Women's 5 kilometres"
"Speed Skating","Speed Skating Women's 1500 metres"
"Speed Skating","Speed Skating Women's 3000 metres"
"Archery","Archery Women's Individual"
"Shooting","Shooting Men's Running Target 50 metres"
"Canoeing","Canoeing Men's Canadian Singles Slalom"
"Cycling","Cycling Men's Keirin"
"Badminton","Badminton Men's Singles"
"Canoeing","Canoeing Men's Kayak Doubles 1000 metres"
"Shooting","Shooting Men's Free Pistol 50 yards Team"
"Athletics","Athletics Women's 10000 metres"
"Fencing","Fencing Men's epee Masters Individual"
"Fencing","Fencing Men's epee Masters and Amateurs Individual"
"Sailing","Sailing Women's Three Person Keelboat"
"Tennis","Tennis Women's Singles"
"Tennis","Tennis Mixed Doubles"
"Fencing","Fencing Women's epee Team"
"Swimming","Swimming Women's 200 metres Breaststroke"
"Swimming","Swimming Women's 200 metres Freestyle"
"Synchronized Swimming","Synchronized Swimming Women's Solo"
"Athletics","Athletics Men's 400 metres"
"Shooting","Shooting Men's Free Pistol 50 metres"
"Shooting","Shooting Men's Air Pistol 10 metres"
"Swimming","Swimming Men's 200 metres Butterfly"
"Athletics","Athletics Men's Javelin Throw"
"Athletics","Athletics Men's 3000 metres Team"
"Shooting","Shooting Women's Skeet"
"Tennis","Tennis Women's Doubles"
"Figure Skating","Figure Skating Mixed Pairs"
"Archery","Archery Men's Individual"
"Canoeing","Canoeing Men's Kayak Singles 500 metres"
"Canoeing","Canoeing Women's Kayak Singles Slalom"
"Swimming","Swimming Men's 4 x 250 metres Freestyle Relay"
"Freestyle Skiing","Freestyle Skiing Women's Moguls"
"Athletics","Athletics Women's 1500 metres"
"Art Competitions","Art Competitions Mixed Architecture Architectural Designs"
"Rugby Sevens","Rugby Sevens Women's Rugby Sevens"
"Bobsleigh","Bobsleigh Women's Two"
"Shooting","Shooting Mixed Trap"
"Cycling","Cycling Men's Road Race Individual"
"Diving","Diving Women's Springboard"
"Boxing","Boxing Men's Light-Middleweight"
"Equestrianism","Equestrianism Mixed Dressage Individual"
"Equestrianism","Equestrianism Mixed Dressage Team"
"Cycling","Cycling Women's 500 metres Time Trial"
"Shooting","Shooting Women's Trap"
"Rowing","Rowing Men's 6-Man Naval Rowing Boats"
"Swimming","Swimming Men's 200 metres Backstroke"
"Badminton","Badminton Women's Singles"
"Beach Volleyball","Beach Volleyball Women's Beach Volleyball"
"Swimming","Swimming Women's 400 metres Individual Medley"
"Cycling","Cycling Men's 20 kilometres"
"Sailing","Sailing Mixed Skiff"
"Fencing","Fencing Women's epee Individual"
"Shooting","Shooting Men's Small-Bore Rifle Prone 50 and 100 yards"
"Rowing","Rowing Women's Coxless Fours"
"Diving","Diving Men's Synchronized Springboard"
